Mes,Fecha,Producto,Profesional,Programa,Conductor,Editado,Tomado,Tipo,Salida Real,Valor Programa,Valor Apoyo,Total
Jun 2026 - Grilla Sheila Programas,01/06/2026,Digecaps,Gabriel Lapman,Las mañanas con Andino,Guillermo Andino,No subieron a YT,FALSE,NOTA,,$250.000,$120.000,$370.000
Jun 2026 - Grilla Sheila Programas,01/06/2026,Digecaps,Gabriel Lapman,Lape Club Social,Sergio Lapegüe,Lukas,TRUE,NOTA,2026-06-01 15-13-03.mp4,$1.800.000,$120.000,$1.920.000
Jun 2026 - Grilla Sheila Programas,01/06/2026,Metasitol,Gabriel Lapman,Con Carmen,Carmen Barbieri,Lukas,TRUE,NOTA,2026-06-01 15-22-43.mp4,$1.178.100,$120.000,$1.298.100
Jun 2026 - Grilla Sheila Programas,01/06/2026,Telomerina,Gabriel Lapman,Los profesionales con Flor,Florencia de la V,Lukas,TRUE,NOTA,2026-06-01 16-50-15.mp4,$1.285.200,$120.000,$1.405.200
Jun 2026 - Grilla Sheila Programas,01/06/2026,Serrapep,Gabriel Lapman,Todo Cocinado,Rocío Marengo,Lukas,TRUE,NOTA,2026-06-01 17-56-02.mp4,$1.000.000,$120.000,$1.120.000
Jun 2026 - Grilla Sheila Programas,01/06/2026,Serrapep,,BTV,Pachu,,TRUE,PNT,,$1.000.000,$0,$1.000.000
Jun 2026 - Grilla Sheila Programas,02/06/2026,Telomerina,,SQP,Yanina Latorre,Juli,TRUE,PNT,SQP - Telomerina 20.6 - PNT .mp4,$800.000,$0,$800.000
Jun 2026 - Grilla Sheila Programas,02/06/2026,Vitamet,Micaela Olivares,Desayuno Americano,Pamela David,Lukas,TRUE,NOTA,2026-06-02 10-03-14.mp4,$1.800.000,$70.000,$1.870.000
Jun 2026 - Grilla Sheila Programas,02/06/2026,Vitamet,Gabriel Lapman,La mañana de Moria,Moria Casan,Juli,TRUE,NOTA,2026-06-02 10-27-15.mp4,$1.700.000,$120.000,$1.820.000
Jun 2026 - Grilla Sheila Programas,02/06/2026,Serrapep,Karina Ramírez,Las mañanas con Andino,Guillermo Andino,Juli,TRUE,NOTA,2026-06-03 10-01-51.mp4,$250.000,$70.000,$320.000
Jun 2026 - Grilla Sheila Programas,02/06/2026,Menacor,Gabriel Lapman,La Cocina Rebelde,Jimena Monteverde,Lukas,TRUE,NOTA,2026-06-03 10-13-13.mp4,$1.350.000,$120.000,$1.470.000
Jun 2026 - Grilla Sheila Programas,02/06/2026,Telomerina,Gabriel Lapman,SQP,Yanina Latorre,Juli,TRUE,PNT,SQP - Telomerina 02 06 .mp4,$800.000,$120.000,$920.000
Jun 2026 - Grilla Sheila Programas,03/06/2026,Telomerina,Gabriel Lapman,Las mañanas con Andino,Guillermo Andino,Lukas,TRUE,NOTA,2026-06-03 11-54-17.mp4,$250.000,$120.000,$370.000
Jun 2026 - Grilla Sheila Programas,03/06/2026,Metasitol,Evangelina Cueto,Todo Cocinado,Rocío Marengo,Juli,TRUE,NOTA,2026-06-04 11-18-28.mp4,$1.000.000,$70.000,$1.070.000
Jun 2026 - Grilla Sheila Programas,04/06/2026,Capskrill,Gabriel Lapman,Las mañanas con Andino,Guillermo Andino,Lukas,TRUE,NOTA,2026-06-04 11-03-20.mp4,$250.000,$120.000,$370.000
Jun 2026 - Grilla Sheila Programas,04/06/2026,Goodskin,,DDM,Mariana Fabbiani,Juli,TRUE,PNT,DDM - Goodskin 04 06 .mp4,$700.000,$0,$700.000
Jun 2026 - Grilla Sheila Programas,04/06/2026,Vitamet,Gabriel Lapman,Todo Cocinado,Rocío Marengo,Lukas,TRUE,NOTA,2026-06-05 10-02-05.mp4,$1.000.000,$120.000,$1.120.000
Jun 2026 - Grilla Sheila Programas,05/06/2026,Daozima,Gabriel Lapman,TL 9 al Amanecer,,Lukas,TRUE,NOTA,2026-06-05 10-11-47.mp4,$771.120,$120.000,$891.120
Jun 2026 - Grilla Sheila Programas,05/06/2026,Telomerina,Gabriel Lapman,Desayuno Americano,Pamela David,Juli,TRUE,NOTA,2026-06-08 10-26-26.mp4,$1.800.000,$120.000,$1.920.000
Jun 2026 - Grilla Sheila Programas,05/06/2026,Digecaps,Gabriel Lapman,TL 9 al Mediodia,,Juli,TRUE,NOTA,2026-06-05 12-58-29.mp4,$1.568.700,$120.000,$1.688.700
Jun 2026 - Grilla Sheila Programas,05/06/2026,Satial Food,,LAM,Denis Dumas,,FALSE,PNT,,$1.000.000,$0,$1.000.000
Jun 2026 - Grilla Sheila Programas,06/06/2026,Creatina HCL,Gabriel Lapman,Nara que ver,Nara Ferragut,Lukas,TRUE,NOTA,2026-06-08 10-08-19.mp4,$567.630,$120.000,$687.630
Jun 2026 - Grilla Sheila Programas,07/06/2026,Menacor,Gabriel Lapman,Implacables,Susana Roccasalvo,Juli,TRUE,NOTA,2026-06-08 09-57-56.mp4,$749.700,$120.000,$869.700
Jun 2026 - Grilla Sheila Programas,08/06/2026,Vitamet,Gabriel Lapman,Lape Club Social,Sergio Lapegüe,Juli,TRUE,NOTA,2026-06-08 10-39-26.mp4,$1.800.000,$120.000,$1.920.000
Jun 2026 - Grilla Sheila Programas,08/06/2026,Creatina HCL,Gabriel Lapman,Con Carmen,Carmen Barbieri,Juli,TRUE,NOTA,2026-06-08 14-58-39.mp4,$1.178.100,$120.000,$1.298.100
Jun 2026 - Grilla Sheila Programas,08/06/2026,Daozima,Gabriel Lapman,Todo Cocinado,Rocío Marengo,Lukas,TRUE,NOTA,2026-06-09 09-20-59.mp4,$1.000.000,$120.000,$1.120.000
Jun 2026 - Grilla Sheila Programas,08/06/2026,Goodskin,,SQP,Yanina Latorre,,FALSE,PNT,,$800.000,$0,$800.000
Jun 2026 - Grilla Sheila Programas,09/06/2026,Floragut,Micaela Olivares,Desayuno Americano,Pamela David,Lukas,TRUE,NOTA,2026-06-09 12-08-36.mp4,$1.800.000,$70.000,$1.870.000
Jun 2026 - Grilla Sheila Programas,09/06/2026,Menacor,Gabriel Lapman,La mañana de Moria,Moria Casan,Lukas,TRUE,NOTA,2026-06-09 12-03-47.mp4,$1.700.000,$120.000,$1.820.000
Jun 2026 - Grilla Sheila Programas,09/06/2026,AMPK Protein,,DDM,Cesar Carozza,,FALSE,PNT,,$700.000,$0,$700.000
Jun 2026 - Grilla Sheila Programas,09/06/2026,Menacor,Gabriel Lapman,Los profesionales con Flor,Florencia de la V,Juli,TRUE,NOTA,2026-06-09 16-58-59.mp4,$1.285.200,$120.000,$1.405.200
Jun 2026 - Grilla Sheila Programas,09/06/2026,Satial Food,,LAM,Denis Dumas,,FALSE,,,$1.000.000,$0,$1.000.000
Jun 2026 - Grilla Sheila Programas,10/06/2026,Menacor,Micaela Olivares,Desayuno Americano,Pamela David,Juli,TRUE,NOTA,2026-06-10 10-48-27.mp4,$1.800.000,$70.000,$1.870.000
Jun 2026 - Grilla Sheila Programas,10/06/2026,Metasitol R1,Evangelina Cueto,Todo Cocinado,Rocío Marengo,Lukas,TRUE,NOTA,2026-06-11 09-24-05.mp4,$1.000.000,$70.000,$1.070.000
Jun 2026 - Grilla Sheila Programas,11/06/2026,Creatina HCL,Delfina Zimerman,Desayuno Americano,Pamela David,"Lukas, Juli",TRUE,NOTA,2026-06-12 09-26-22.mp4,$1.800.000,$100.000,$1.900.000
Jun 2026 - Grilla Sheila Programas,11/06/2026,Serrapep,Gabriel Lapman,Las mañanas con Andino,Guillermo Andino,Lukas,TRUE,NOTA,2026-06-12 09-34-27.mp4,$250.000,$120.000,$370.000
Jun 2026 - Grilla Sheila Programas,11/06/2026,Daozima,Gabriel Lapman,Lape Club Social,Sergio Lapegüe,Lukas,TRUE,NOTA,2026-06-12 09-18-28.mp4,$1.800.000,$120.000,$1.920.000
Jun 2026 - Grilla Sheila Programas,11/06/2026,Goodskin,,DDM,Mariana Fabbiani,,FALSE,PNT,,$700.000,$0,$700.000
Jun 2026 - Grilla Sheila Programas,12/06/2026,Daozima,Gabriel Lapman,TL 9 al Amanecer,,Lukas,TRUE,NOTA,2026-06-12 09-50-15.mp4,$771.120,$120.000,$891.120
Jun 2026 - Grilla Sheila Programas,12/06/2026,Creatina HCL,Gabriel Lapman,Desayuno Americano,Pamela David,Lukas,TRUE,NOTA,2026-06-12 10-05-48.mp4,$1.800.000,$120.000,$1.920.000
Jun 2026 - Grilla Sheila Programas,12/06/2026,Floragut,Gabriel Lapman,Que mañana!,Julián Weich,Lukas,TRUE,NOTA,2026-06-12 11-42-23.mp4,$1.071.000,$120.000,$1.191.000
Jun 2026 - Grilla Sheila Programas,12/06/2026,Digecaps,Gabriel Lapman,TL 9 al Mediodia,,Lukas,TRUE,NOTA,2026-06-12 14-27-01.mp4,$1.568.700,$120.000,$1.688.700
Jun 2026 - Grilla Sheila Programas,12/06/2026,Satial Food,,SQP,Yanina Latorre,,FALSE,PNT,,$800.000,$0,$800.000
Jun 2026 - Grilla Sheila Programas,13/06/2026,Digecaps,Gabriel Lapman,Implacables,Susana Roccasalvo,Juli,TRUE,NOTA,2026-06-16 10-09-23.mp4,$749.700,$120.000,$869.700
Jun 2026 - Grilla Sheila Programas,14/06/2026,Digecaps,Gabriel Lapman,Nara que ver,Nara Ferragut,Lukas,TRUE,NOTA,2026-06-16 10-03-06.mp4,$567.630,$120.000,$687.630
Jun 2026 - Grilla Sheila Programas,15/06/2026,Digecaps,Gabriel Lapman,Las mañanas con Andino,Guillermo Andino,Juli,TRUE,NOTA,2026-06-16 09-26-02.mp4,$250.000,$120.000,$370.000
Jun 2026 - Grilla Sheila Programas,15/06/2026,Serrapep,Gabriel Lapman,Con Carmen,Carmen Barbieri,Juli,TRUE,NOTA,2026-06-16 09-41-34.mp4,$1.178.100,$120.000,$1.298.100
